full_name,Goals,Value (M),Goals/Value
Stephan Lichtsteiner,0,8.5,0
Willy Caballero,0,3,0
Vincent Kompany,0,26,0
Javier Mascherano,0,10.5,0
Igor Akinfeev,0,7.5,0
Mario Gómez,0,20,0
Héctor Herrera,0,14,0
Andreas Granqvist,2,8.5,4.25
Lionel Messi,1,105,105
Oribe Peralta,0,4.8,0
Lucas Biglia,0,17.5,0
Michael Krohn-Dehli,0,6.5,0
Valon Behrami,0,5,0
Karim El Ahmadi,0,11,0
Kasper Schmeichel,0,19,0
Steve Mandanda,0,12.5,0
Gary Cahill,0,21,0
Łukasz Fabiański,0,8.5,0
Jakub Błaszczykowski,0,7,0
Brad Jones,0,2.1,0
Manuel Neuer,0,61,0
Gonzalo Higuaín,0,77,0
Hugo Lloris,0,38,0
Ivan Rakitić,1,48.5,48.5
Carlos Vela,1,22.5,22.5
Danny Rose,0,21,0
Giovani dos Santos,0,13,0
Jonathan dos Santos,0,16.5,0
Blaise Matuidi,0,28.5,0
Andrés Guardado,0,13.5,0
Jan Vertonghen,1,28.5,28.5
Victor Moses,1,12.5,12.5
Cristian Ansaldi,0,9,0
Simon Mignolet,0,12,0
Héctor Moreno,0,11.5,0
Łukasz Piszczek,0,14.5,0
Dries Mertens,1,43,43
David Ospina,0,9,0
Luis Suárez,2,97,48.5
Marouane Fellaini,1,12,12
Bryan Ruíz,0,8,0
Luka Modrić,2,57,28.5
Medhi Benatia,0,23,0
Nabil Dirar,0,7,0
Yann Sommer,0,21,0
Kamil Grosicki,0,7.5,0
Miguel Layún,0,8,0
Branislav Ivanović,0,9,0
Olivier Giroud,0,21.5,0
Éver Banega,0,25.5,0
Mats Hummels,0,48,0
Simon Kjær,0,16,0
Edinson Cavani,3,48.5,16.16666667
Sami Khedira,0,29,0
Federico Fazio,0,16.5,0
Makoto Hasebe,0,3.6,0
Albin Ekdal,0,8,0
Ivan Perišić,3,31.5,10.5
Mario Mandžukić,3,23.5,7.833333333
Vedran Ćorluka,0,15,0
Antonio Rukavina,0,3.4,0
Diego Godín,0,40,0
Fernando Muslera,0,13.5,0
Martín Cáceres,0,6.5,0
Toni Kroos,1,79,79
Carlos Sánchez,0,6,0
Carlos Sánchez,0,6,0
Nordin Amrabat,0,12,0
Eden Hazard,3,90.5,30.16666667
Adil Rami,0,12,0
Fabian Delph,0,10,0
Jordan Henderson,0,21.5,0
Gabriel Mercado,1,5.5,5.5
Ángel Di María,1,37.5,37.5
Jérôme Boateng,0,48,0
Toby Alderweireld,0,40.5,0
Mehdi Carcela-González,0,9,0
Gylfi Sigurðsson,1,23,23
Michael Lang,0,9,0
Michał Pazdan,0,6,0
Aleksandar Kolarov,1,8,8
